DHQPID,SRRID,Name,Genus,Fosfomycin.Heteroresistance
DHQP1300299,SRR3982229,Mu22,Klebsiella,NAA
DHQP1300300,SRR3982230,Mu31,Klebsiella,NAA
DHQP1300307,SRR3982253,CDC-18,Klebsiella,Resistant
DHQP1300755,SRR3982316,Mu100,Klebsiella,NAA
DHQP1300757,SRR3982346,Mu135,Klebsiella,NAA
DHQP1300807,SRR3987112,CDC-32,Klebsiella,Heteroresistant
DHQP1300810,SRR3987115,CDC-33,Klebsiella,Heteroresistant
DHQP1301284,SRR3987118,Mu118,Klebsiella,NAA
DHQP1301285,SRR3987119,Mu125,Klebsiella,NAA
DHQP1301286,SRR3987120,Mu137,Klebsiella,NAA
DHQP1301288,SRR3987121,Mu147,Klebsiella,NAA
DHQP1301289,SRR3987122,Mu157,Klebsiella,NAA
DHQP1301290,SRR3987123,Mu163,Klebsiella,NAA
DHQP1301291,SRR3467249,Mu175,Klebsiella,NAA
DHQP1301293,SRR3987124,Mu186,Klebsiella,NAA
DHQP1301294,SRR3987125,Mu188,Klebsiella,NAA
DHQP1301295,SRR3987126,Mu189,Klebsiella,NAA
DHQP1301296,SRR3987127,Mu297,Klebsiella,NAA
DHQP1301297,SRR3987128,Mu301,Klebsiella,NAA
DHQP1301298,SRR3987129,Mu302,Klebsiella,NAA
DHQP1301377,SRR3987135,CDC-22,Klebsiella,Heteroresistant
DHQP1301378,SRR3996236,CDC-23,Klebsiella,Heteroresistant
DHQP1301380,SRR3996238,CDC-26,Klebsiella,Heteroresistant
DHQP1301382,SRR3996239,CDC-27,Klebsiella,Heteroresistant
DHQP1301408,SRR3996240,CDC-44,Klebsiella,Heteroresistant
DHQP1301412,SRR3996242,CDC-61,Klebsiella,Heteroresistant
DHQP1301415,SRR3996245,CDC-31,Klebsiella,Heteroresistant
DHQP1301416,SRR3996246,CDC-43,Klebsiella,Heteroresistant
DHQP1301741,SRR3996248,Mu197,Klebsiella,NAA
DHQP1301743,SRR3996250,Mu261,Klebsiella,NAA
DHQP1301744,SRR3996251,Mu285,Klebsiella,NAA
DHQP1301745,SRR3996252,Mu308,Klebsiella,NAA
DHQP1301746,SRR3996253,Mu315,Klebsiella,NAA
DHQP1301747,SRR3996254,CDC-67,Klebsiella,Heteroresistant
DHQP1301748,SRR3996255,CDC-68,Klebsiella,Heteroresistant
